ID;JPtitle;ENtitle;JPdesc;ENdesc
A15;「妙高」型重巡姉妹の全4隻を編成せよ！;Form the Myoukou-class!;妙高型重巡洋艦「妙高」「那智」「足柄」「羽黒」を同一艦隊に配属せよ！;Have Myoukou (妙高), Nachi (那智), Ashigara (足柄) and Haguro (羽黒) in your main fleet.
A16;「金剛」型による高速戦艦部隊を編成せよ！;Form the Kongou-class!;金剛型戦艦「金剛」「比叡」「榛名」「霧島」全4隻の高速戦艦を集中配備せよ！;Have Kongou (金剛), Hiei (比叡), Haruna (榛名) and Kirishima (霧島) in your main fleet.
A17;「扶桑」型戦艦姉妹の全２隻を編成せよ！;Form the Fusou-class!;扶桑型戦艦「扶桑」「山城」を同一艦隊に配属せよ！;Have Fusou (扶桑) and Yamashiro (山城) in your main fleet.
A18;「伊勢」型戦艦姉妹の全２隻を編成せよ！;Form the Ise-class!;伊勢型戦艦「伊勢」「日向」を同一艦隊に配属せよ！;Have Ise (伊勢) and Hyuuga (日向) in your main fleet.
A19;「南雲機動部隊」を編成せよ！;Form the Nagumo Task Force!;一航戦「赤城」「加賀」二航戦「飛龍」「蒼龍」からなる第一機動部隊を編成せよ！;Have ONLY Akagi (赤城), Kaga (加賀), Hiryuu (飛龍) and Souryuu (蒼龍) in your main fleet.
A20;「三川艦隊」を編成せよ！;Form the Mikawa Fleet!;「鳥海」「青葉」「加古」「古鷹」「天龍」を含む高速艦隊を編成せよ！;Have Choukai (鳥海), Aoba (青葉), Kako (加古), Furutaka (古鷹), Tenryuu (天龍) and a FAST speed ship in your main fleet.
A21;「第四戦隊」を編成せよ！;Form the Cruiser Division 4!;「愛宕」「高雄」「鳥海」「摩耶」を基幹とした第四戦隊を編成せよ！;Have Atago (愛宕), Takao (高雄), Choukai (鳥海) and Maya (摩耶) in your main fleet.
A22;「西村艦隊」を編成せよ！;Form the Nishimura Fleet!;「扶桑」「山城」「最上」「時雨」を基幹とした西村艦隊を編成せよ！;Have Fusou (扶桑), Yamashiro (山城), Mogami (最上) and Shigure (時雨) in your main fleet.
A23;「第五航空戦隊」を編成せよ！;Form the Carrier Division 5!;「翔鶴」「瑞鶴」を基幹とし、駆逐艦2隻を加えた第五航空戦隊を編成せよ！;Have Shoukaku (翔鶴), Zuikaku (瑞鶴) and 2 DD in your main fleet.
A24;新「三川艦隊」を編成せよ！;Form the New Mikawa Fleet!;「鳥海」「青葉」「衣笠」「加古」「古鷹」「天龍」からなる三川艦隊を編成せよ！;Have Choukai (鳥海), Aoba (青葉), Kinugasa (衣笠), Kako (加古), Furutaka (古鷹) and Tenryuu (天龍) in your main fleet.
A25;潜水艦隊を編成せよ！;Form a Submarine Fleet!;伊号潜水艦2隻からなる潜水艦隊を編成せよ！;Have 2 SS in your main fleet.
A26;航空水上打撃艦隊を編成せよ！;Form a Naval Aviation Strike Fleet!;航空戦艦2隻と航空巡洋艦2隻を基幹とする艦隊を編成せよ！;Have 2 BBV and 2 CAV in your main fleet.
A27;中規模潜水艦隊を編成せよ！;Form a Medium-Sized Submarine Fleet!;伊号潜水艦3隻以上からなる潜水艦隊を編成せよ！;Have 3 SS in your main fleet.
A28;「第六戦隊」を編成せよ！;Form the Cruiser Division 6!;「古鷹」「加古」「青葉」「衣笠」を基幹とした第六戦隊を編成せよ！;Have Furutaka (古鷹), Kako(加古), Aoba (青葉) and Kinugasa (衣笠) in your main fleet.
A29;「第5艦隊」を編成せよ！;Form the 5th Fleet!;「那智」「足柄」「多摩」「木曾」を中核とした「第五艦隊」を編成せよ！;Have Nachi (那智), Ashigara (足柄), Tama (多摩), and Kiso (木曾) in your fleet.
A30;「第1水雷戦隊」を編成せよ！;Form the Torpedo Squadron 1!;「阿武隈」「曙」「潮」「霞」「不知火」を中核とした「第1水雷戦隊」を編成せよ！;Have Abukuma (阿武隈), Akebono (曙), Ushio (潮), Kasumi (霞) and Shiranui (不知火) in your fleet.
A31;「第八駆逐隊」を編成せよ！;Form the Destroyer Division 8!;「朝潮」「満潮」「大潮」「荒潮」4隻による第八駆逐隊を編成せよ！;Have Asashio (朝潮), Michishio (満潮), Ooshio (大潮) and Arashio (荒潮) in your fleet.
A32;「第十八駆逐隊」を編成せよ！;Form the Destroyer Division 18!;「霞」「霰」「陽炎」「不知火」4隻による第十八駆逐隊を編成せよ！;Have ONLY Kasumi (霞), Arare (霰), Kagerou (陽炎) and Shiranui (不知火) in your fleet.
A33;「第三十駆逐隊(第一次)」を編成せよ！;Form the Destroyer Division 30 (Gen-1)!;「睦月」「如月」「弥生」「望月」4隻による第三十駆逐隊(第一次)を編成せよ！;Have ONLY Mutsuki (睦月), Kisaragi (如月), Yayoi (弥生) and Mochizuki (望月) in your fleet.
B1;はじめての「出撃」！;First Sortie!;艦隊を出撃させ、敵艦隊と交戦せよ！;Deploy your main fleet on a combat mission.
B2;鎮守府正面海域を護れ！;Protect the Seas of Chinju-Fu!;鎮守府正面海域に艦隊を出撃させ、敵艦の跋梁を阻止せよ！;Deploy to World 1-1 and clear the stage.
B3;第2艦隊、出撃せよ！;Second Fleet Sortie!;新たに編成した「第2艦隊」を出撃せよ！;Deploy your 2nd Fleet on a combat mission.
B4;南西諸島沖に出撃せよ！;Sortie to the Coast of Nansei Islands!;南西諸島沖に艦隊を出撃させ、敵艦隊と交戦せよ！;Deploy to World 1-2 and clear the stage.
B5;接近する「敵前衛艦隊」を迎撃せよ！;Intercept Approaching Enemy Vanguard Fleet!;南西諸島沖に接近する「敵前衛艦隊」を捕捉、これを撃滅せよ！;Deploy to World 1-2 after defeating its boss and clear the stage.
B6;「水雷戦隊」で出撃せよ！;Sortie the Torpedo Squadron!;軽巡洋艦1隻を旗艦とし、複数の駆逐艦からなる水雷戦隊で出撃せよ！;Deploy a fleet with a CL as flagship and 3 DD as escorts.
B7;「重巡洋艦」を出撃させよ！;Sortie a Heavy Cruiser!;重巡洋艦を旗艦とした艦隊を編成、これを出撃させよ！;Deploy a fleet with a CA as its flagship.
B8;「戦艦」を出撃させよ！;Sortie a Battleship!;海上の覇者、戦艦を旗艦とした艦隊を編成、これを出撃させよ！;Deploy a fleet with a BB as its flagship. BBV don't count.
B9;「空母機動部隊」出撃せよ！;Sortie a Carrier Task Force!;空母1隻とその護衛艦艇で編成した空母機動部隊を出撃させよ！;Deply a fleet with CV(L) as flagship and 5 DD/CL/AV for the escorts.
B10;敵空母を撃沈せよ！;Sink Enemy Carrier!;敵機動部隊を捕捉し、これを邀撃、敵空母を轟沈せよ！;Sink an enemy aircraft carrier.
B11;「三川艦隊」出撃せよ！;Sortie the Mikawa Fleet!;新編成した「三川艦隊」で出撃せよ！;Deploy a fleet with Choukai, Aoba, Kako, Furutaka, Tenryuu and a FAST speed ship.
B12;「第六駆逐隊」出撃せよ！;Sortie the Destroyer Division 6!;「暁」「響」「雷」「電」による第六駆逐隊、出撃せよ！;Deploy a fleet with ONLY Akatsuki, Hibiki, Inazuma, and Ikazuchi.
B13;「第四戦隊」出撃せよ！;Sortie the Cruiser Division 4!;「愛宕」「高雄」「鳥海」「摩耶」を基幹とする第四戦隊で、バシー島沖の敵を撃滅せよ！;Deploy a fleet with Atago, Takao, Choukai, Maya and any 2 ships. Score a victory against World 2-2 Boss.
B14;「西村艦隊」出撃せよ！;Sortie the Nishimura Fleet!;「扶桑」「山城」「最上」「時雨」を基幹とする西村艦隊で、オリョール海の敵を撃滅せよ！;Deploy a fleet with Fusou, Yamashiro, Mogami, Shigure and any 2 ships. Score a victory against World 2-3 Boss.
B15;「第五航空戦隊」出撃せよ！;Sortie the Carrier Division 5!;「翔鶴」「瑞鶴」を基幹とする第五航空戦隊で、北方海域モーレイ海の敵を撃滅せよ！;Deploy a fleet with Shokaku, Zuikaku and any 4 ships. Score a victory against World 3-1 Boss.
B16;新「三川艦隊」出撃せよ！;Sortie the New Mikawa Fleet!;完全編成した「三川艦隊」をもって、オリョール海の敵を撃滅せよ！;Deploy a fleet with Choukai, Aoba, Kinugasa, Kako, Furutaka and Tenryuu. Score a victory against World 2-3 Boss.
B17;「潜水艦隊」出撃せよ！;Sortie a Submarine Fleet!;伊号潜水艦2隻からなる潜水艦隊でオリョール海の敵を撃滅せよ！;Deploy a fleet with 2 SS and 4 additional ships. Score a victory against World 2-3 Boss.
B18;「航空水上打撃艦隊」出撃せよ！;Sortie a Naval Aviation Strike Fleet!;航空戦艦2隻と航空巡洋艦2隻を基幹とする艦隊でカレー洋の制海権を握れ！;Deploy a fleet with 2 BBV, 2 CAV and 2 additional ships. Score a victory against World 4-2 Boss.
B19;「第六戦隊」出撃せよ！;Sortie the Cruiser Division 6!;編成した「第六戦隊」をもって出撃し、オリョール海の敵を撃滅「完全勝利」せよ！;Deploy a fleet with Furutaka, Kako, Kinugasa, Aoba and 2 additional ships. Score a S RATING victory or higher against World 2-3 Boss.
B20;「第八駆逐隊」出撃せよ！;Sortie the Destroyer Division 8!;編成した「第八駆逐隊」を含む艦隊で出撃し、オリョール海の敵を撃滅せよ！;Deploy a fleet with Asashio, Michishio, Ooshio, Arashio and 2 additional ships. Score a victory against World 2-3 Boss.
B21;「第十八駆逐隊」出撃せよ！;Sortie the Destroyer Division 18!;編成した「第十八駆逐隊」を含む艦隊で出撃し、北方海域モーレイ海の敵を撃滅せよ！;Deploy a fleet with Kasumi, Arare, Kagerou, Shiranui and 2 additional ships. Score a victory against World 3-1 Boss.
B22;「第三十駆逐隊(第一次)」出撃せよ！;Sortie the Destroyer Division 30 (Gen-1)!;「第三十駆逐隊(第一次)」を含む艦隊で出撃し、キス島沖の主力艦隊と交戦せよ！;Deploy a fleet with Mutsuki, Kisaragi, Yayoi, Mochizuki and 2 DD. Score a victory against World 3-2 Boss.
Bd1;敵艦隊を撃破せよ！;Daily Sortie 1;艦隊を出撃させ、敵艦隊を捕捉、これを撃滅せよ！;Defeat an enemy fleet.
Bd2;敵艦隊主力を撃滅せよ！;Daily Sortie 2;艦隊を出撃させ、敵艦隊「主力」を捕捉！これを撃滅せよ！;Defeat the flagship of an enemy fleet.
Bd3;敵艦隊を10回邀撃せよ！;Daily Sortie 3;艦隊全力出撃！遊弋する敵艦隊を10回邀撃せよ！;Defeat 10 enemy fleets.
Bd4;敵空母を３隻撃沈せよ！;Daily Sortie 4;艦隊の脅威となる敵空母群。これを捕捉撃滅し、3隻轟沈せよ！;Sink 3 enemy aircraft carriers.
Bd5;敵補給艦を3隻撃沈せよ！;Daily Sortie 5;艦隊を出撃させ、敵補給艦を捕捉、これを撃滅せよ！;Sink 3 enemy transport ships.
Bd6;敵輸送船団を叩け！;Daily Sortie 6;敵の輸送船5隻以上を撃沈し、敵の補給路を寸断せよ！;Sink 5 enemy transport ships.
Bd7;南西諸島海域の制海権を握れ！;Daily Sortie 7;艦隊を南西諸島海域に全力出撃させ、多数の敵艦隊「主力」群を捕捉、撃滅せよ！;Defeat 5 bosses in World 2.
Bd8;敵潜水艦を制圧せよ！;Daily Sortie 8;対潜能力の充実した艦隊で出撃、敵潜水艦狩りを実施せよ！;Sink 6 enemy submarines.
Bw1;あ号作戦;Weekly Sortie 1;1週間の全力出撃を行い、可能な限り多くの敵艦隊を捕捉、これを迎撃せよ！;Deploy your fleet 36 times, encounter 24 bosses, defeat 12 bosses and get 6 Perfect S RATING victories.
Bw2;い号作戦;Weekly Sortie 2;有力な母艦航空隊で1週間の全力出撃を行い、可能な限り多くの敵空母を撃滅せよ！;Sink 20 aircraft carriers.
Bw3;海上通商破壊作戦;Weekly Sortie 3;1週間で敵輸送船を20隻以上撃沈せよ！;Sink 20 transport ships.
Bw4;ろ号作戦;Weekly Sortie 4;1週間の全力出撃を行い、敵輸送船団を捕捉・撃滅、敵の補給路を寸断せよ！;Sink 50 transport ships.
Bw5;海上護衛戦;Weekly Sortie 5;有力な対潜能力を持つ海上護衛隊によって、可能な限り多くの敵潜水艦を撃滅せよ！;Sink 15 submarines.
Bw6;敵東方艦隊を撃滅せよ！;Weekly Sortie 6;西方海域に出撃し、敵東方艦隊の主力を捕捉、これを撃滅せよ！;Defeat 12 bosses in World 4.
Bw7;敵北方艦隊主力を撃滅せよ！;Weekly Sortie 7;北方海域の深部に出撃し、敵北方艦隊の主力艦隊を捕捉、これを撃滅せよ！;Defeat 5 bosses in World 3-3 and 3-4. 
Bw8;敵東方中枢艦隊を撃破せよ！;Weekly Sortie 8;西方海域カスガダマ島沖に出撃し、敵東方中枢艦隊を捕捉、これを撃破せよ！;Defeat a boss in World 4-4.
Bw9;南方海域珊瑚諸島沖の制空権を握れ！;Weekly Sortie 9;南方海域珊瑚諸島沖に出撃し、敵機動部隊本体を捕捉撃滅、これに完全勝利せよ！;Defeat 2 bosses in World 5-2 with S RATING victory or higher.
C1;はじめての「演習」！;First Exercise!;他の提督(プレイヤー)の艦隊と「演習」を行おう！;Challenge another fleet in practice mode.
C2;「演習」で練度向上！;Daily Exercises 1;本日中に他の司令官の艦隊に対して3回「演習」を挑もう！;Challenge 3 other fleets in practice mode within the same day.
C3;「演習」で他提督を圧倒せよ！;Daily Exercises 2;本日中に他の司令官の艦隊との「演習」で5回以上「勝利」をおさめよう！;Get 5 victories in practice mode within the same day.
C4;大規模演習;Weekly Exercises;今週中に「演習」で他の提督の艦隊に対して20回「勝利」しよう！;Get 20 victories in practice mode within the same week.
D1;はじめての「遠征」！;First Expedition;艦隊を「遠征」に出発させよう！;Perform an expedition.
D2;「遠征」を３回成功させよう！;Daily Expeditions 1;本日中に「遠征」３回成功させよう！;Perform 3 successful expeditions within the same day.
D3;「遠征」を１０回成功させよう！;Daily Expeditions 2;本日中に「遠征」10回成功させよう！;Perform 10 successful expeditions within the same day.
D4;大規模遠征作戦、発令！;Weekly Expeditions;今週中に「遠征」30回成功させよう！;Perform 30 successful expeditions within the same week.
D5;第一次潜水艦派遣作戦;The First Submarine Operation;はじめての潜水艦派遣作戦を成功させよう！;Complete Expedition 30.
D6;第二次潜水艦派遣作戦;The Second Submarine Operation;第2次潜水艦派遣作戦を成功させよう！;Complete Expedition 30 one more time.
D7;潜水艦派遣作戦による技術入手の継続!;Continuation of Submarine Operations;第3次及び第4次潜水艦派遣作戦を成功させ、他国製技術の導入に努めよ!;Complete Expedition 30 two more times.
E1;はじめての「補給」！;First Supply;補給は大事です！燃料・弾薬を艦に「補給」しよう！;Resupply a ship.
E2;はじめての「入渠」！;First Docking;戦闘で傷ついた艦を「入渠」させて修理して、次の出撃に備えよう！;Repair a ship.
E3;艦隊大整備！;Daily Repairs;各艦隊から整備が必要な艦を5隻以上ドック入りさせ、大規模な整備をしよう！;Repair 5 ships.
E4;艦隊酒保祭り！;Daily Resupplies;艦隊酒保祭り！各艦に延べ15回以上の補給を実施しよう！;Resupply your ships 15 times.
F1;はじめての「建造」！;First Construction;「工廠」で鋼材などの資材を使って新しい艦を「建造」しよう！;Craft a ship.
F2;はじめての「開発」！;First Development;「工廠」でボーキサイトなどの資材を使って新しい装備アイテムを「開発」しよう！;Craft a piece of equipment.
F3;はじめての「解体」！;First Dismantlement;「工廠」で不要な艦を「解体」してみよう！;Dismantle a ship.
F4;はじめての「廃棄」！;First Disposal;「工廠」で不要な装備アイテムを「廃棄」してみよう！;Scrap a piece of equipment.
F5;新装備「開発」指令;Daily Equipment Development 1;「工廠」で装備アイテムを新たに「開発」しよう(失敗もOK)！;Craft a piece of equipment. (Failures are OK)
F6;新造艦「建造」指令;Daily Ship Construction 1;「工廠」で艦娘を本日中に新たに「建造」しよう！;Craft a ship.
F7;装備「開発」集中強化！;Daily Development 2;「工廠」で装備アイテムを本日中に3回「開発」しよう(失敗もOK)！;Craft 3 pieces of equipment. (Failures are OK)
F8;艦娘「建造」艦隊強化！;Daily Construction 2;艦隊強化のため、「工廠」で艦娘を本日中に3隻「建造」しよう！;Craft 3 ships.
F9;軍縮条約対応！;Daily Dismantlement;少し艦隊規模が大きくなりすぎました！「工廠」で不要な艦を2隻「解体」してください！;Scrap 2 ships.
F10;「大型艦建造」の準備！(その弐);Preparation for LCS (Part 2);大型艦建造の準備をします！「工廠」で装備アイテムを4回「廃棄」してみてください！;Scrap 4 pieces of equipment.
G1;はじめての「近代化改修」！;First Modernization;任意の艦を近代化改修(合成)して、強化せよ！;Perform a successful modernization.
G2;艦の「近代化改修」を実施せよ！;Daily Modernization;近代化改修を実施して、２回以上これを成功させよ！;Perform 2 successful modernizations within the same day.
G3;「近代化改修」を進め、戦備を整えよ！;Weekly Modernization;一週間の間に、近代化改修を１5回成功させよ！;Perform 15 successful modernizations within the same week.
G4;「大型艦建造」の準備！(その壱);Preparation for LSC (Part 1);大型艦/新型艦建造のための準備を行う。任意の艦で近代化改修を4回成功させよ！;Perform 4 successful modernizations.
WF01;式の準備！(その壱);In Preparation of Love! (Part 1);式の準備をします！「工廠」で装備アイテムを2回「廃棄」して身の回りの整理を！;Scrap 2 pieces of equipment tp show your love!.
WC01;式の準備！(その弐);In Preparation of Love! (Part 2);本日中に「演習」で2回以上「勝利」をおさめ、式への気持ちを整理しよう！;Show your love by getting 2 victories in practice mode!
WA01;式の準備！(その参);In Preparation of Love! (Part 3);第一艦隊旗艦に練度の高い(Lv.90以上～99以下)艦娘を配備して気持ちを整理せよ！;Organize your feelings and deploy your fleet with a high level flagship (Lv.90~99)!
WB01;式の準備！(最終);In Preparation of Love! (Final);練度の高い(Lv.90以上～99以下）第一艦隊旗艦で出撃し、オリョール海の暁に勝利を刻め！;Deploy a fleet with a high level (Lv.90~99) flagship to 2-3 obtain an S victory or higher against the boss.
WA02;新たなる旅立ち！;Journey Anew!;第一艦隊旗艦に強い絆を結んだLv.100以上の艦娘を配備した6隻の艦隊を編成せよ！;Organize a fleet of 6 ships with your newly bonded ship of Lv.100 or more as flagship!
WB02;二人でする初めての任務！;Your First Mission Together!;強い絆を結んだ艦娘を旗艦とした第一艦隊でリランカ島へ出撃、敵中枢を撃滅せよ！;Deploy a fleet to 4-3 with a bonded ship of Lv.100 or more as flagship and score an S vectory or higher against the boss.
