長門,Nagato
祥鳳改,Shouhou Kai
翔鶴,Shoukaku
翔鶴改,Shoukaku Kai
瑞鶴,Zuikaku
瑞鶴改,Zuikaku Kai
鬼怒,Kinu
鬼怒改,Kinu Kai
阿武隈,Abukuma
阿武隈改,Abukuma Kai
夕張,Yuubari
夕張改,Yuubari Kai
瑞鳳,Zuihou
瑞鳳改,Zuihou Kai
三隈,Mikuma
三隈改,Mikuma Kai
初風,Hatsukaze
初風改,Hatsukaze Kai
舞風,Maikaze
舞風改,Maikaze Kai
衣笠,Kinugasa
衣笠改,Kinugasa Kai
伊19,I-19
伊19改,I-19 Kai
鈴谷,Suzuya
鈴谷改,Suzuya Kai
熊野,Kumano
熊野改,Kumano Kai
伊168,I-168
伊168改,I-168 Kai
伊58,I-58
伊58改,I-58 Kai
伊8,I-8
伊8改,I-8 Kai
大和,Yamato
大和改,Yamato Kai
秋雲,Akigumo
秋雲改,Akigumo Kai
夕雲,Yuugumo
夕雲改,Yuugumo Kai
巻雲,Makigumo
巻雲改,Makigumo Kai
長波,Naganami
長波改,Naganami Kai
阿賀野,Agano
阿賀野改,Agano Kai
能代,Noshiro
能代改,Noshiro Kai
矢矧,Yahagi
矢矧改,Yahagi Kai
武蔵,Musashi
武蔵改,Musashi Kai
大鳳,Taihou
大鳳改,Taihou Kai
伊401,I-401
伊401改,I-401 Kai
あきつ丸,Akitsu Maru
あきつ丸改,Akitsu Maru Kai
まるゆ,Maruyu
まるゆ改,Maruyu Kai
弥生,Yayoi
弥生改,Yayoi Kai
卯月,Uzuki
卯月改,Uzuki Kai
イオナ,IONA
タカオ,TAKAO
ハルナ,HARUNA
